transit_id,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8,stop_9,stop_10,stop_11,stop_12,stop_13,stop_14,stop_15,stop_16,stop_17,stop_18
1,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.75,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.8888888888888888
2,0.25,0.3,0.1,0.6,0.36363636363636365,0.25,0.2222222222222222,0.2727272727272727,0.0,0.18181818181818182,0.2222222222222222,0.25,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.625,0.5,0.3333333333333333,0.4,0.625,0.5714285714285714,0.5,0.75,0.6666666666666666,1.0,0.75,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.9,0.7,0.5,0.8333333333333334
6,1.0,1.0,0.8,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7777777777777778,1.0,0.9,0.9090909090909091,0.7692307692307693,1.0,0.7777777777777778,1.0,0.9,0.9,0.9,0.9090909090909091
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
